property_type,location,quartier_ancfcc,consistance_ancfcc,price_m2,prix_ref_ancfcc_m2,ratio_marche_ancfcc
Villa,Oasis,Hay Hassani,Villa,19645.61,7000.0,2.807
Résidence,Anfa,Maarif,Appartement (fermé et sécurisé),36585.37,19000.0,1.926
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),11404.52,11000.0,1.037
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),13725.49,15000.0,0.915
Appartement,Beauséjour,Maarif,Appartement (fermé et sécurisé),11538.46,19000.0,0.607
Appartement,Roches Noires,Roches Noires,Appartement (fermé et sécurisé),11025.64,13000.0,0.848
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),12500.0,11000.0,1.136
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),28865.98,15000.0,1.924
Studio,Les princesses,Maarif,Appartement (fermé et sécurisé),21818.18,19000.0,1.148
Villa,Aïn Sebaâ,Aïn Sebaâ,Villa,13750.0,5500.0,2.5
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),17127.07,19000.0,0.901
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),21818.18,13000.0,1.678
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),21428.57,19000.0,1.128
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),21636.36,19000.0,1.139
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),28358.21,19000.0,1.493
Duplex,Hay Mohammadi,Hay Mohammadi,Appartement (fermé et sécurisé),8039.22,9500.0,0.846
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),11440.57,11000.0,1.04
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),14285.71,15000.0,0.952
Résidence,Californie,Aïn Chock,Appartement (fermé et sécurisé),16913.53,15000.0,1.128
Duplex,Beauséjour,Maarif,Appartement (fermé et sécurisé),12364.34,19000.0,0.651
Studio,Gauthier,Maarif,Appartement (fermé et sécurisé),27380.95,19000.0,1.441
Studio,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),26666.67,19000.0,1.404
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),17391.3,19000.0,0.915
Appartement,Riviera,Aïn Chock,Appartement (fermé et sécurisé),18901.23,15000.0,1.26
Appartement,Sidi Moumen,Hay Mohammadi,Appartement (fermé et sécurisé),7647.06,9500.0,0.805
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),25348.84,19000.0,1.334
Appartement,Finance City,Aïn Chock,Appartement (fermé et sécurisé),24000.0,15000.0,1.6
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),15625.0,19000.0,0.822
Appartement,Anfa,Maarif,Appartement (fermé et sécurisé),15714.29,19000.0,0.827
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),12222.22,19000.0,0.643
Appartement,Belvédère,Maarif,Appartement (fermé et sécurisé),12601.63,19000.0,0.663
Studio,Belvédère,Maarif,Appartement (fermé et sécurisé),15454.55,19000.0,0.813
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),23214.29,19000.0,1.222
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),25000.0,13000.0,1.923
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),12380.95,15000.0,0.825
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),12800.0,19000.0,0.674
Villa,Sidi Maârouf,Aïn Chock,Villa,10540.54,10000.0,1.054
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),26750.0,19000.0,1.408
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),12000.0,19000.0,0.632
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),13284.42,11000.0,1.208
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),13148.15,15000.0,0.877
Studio,Les princesses,Maarif,Appartement (fermé et sécurisé),26250.0,19000.0,1.382
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),17187.5,13000.0,1.322
Studio,Riviera,Aïn Chock,Appartement (fermé et sécurisé),23224.14,15000.0,1.548
Appartement,Sidi Moumen,Hay Mohammadi,Appartement (fermé et sécurisé),7586.21,9500.0,0.799
Appartement,Quartier Bachkou,Roches Noires,Appartement (fermé et sécurisé),13694.27,13000.0,1.053
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),14814.81,19000.0,0.78
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),12686.57,19000.0,0.668
Appartement,Beauséjour,Maarif,Appartement (fermé et sécurisé),11890.24,19000.0,0.626
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),14044.94,19000.0,0.739
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),25128.21,19000.0,1.323
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),11904.76,19000.0,0.627
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),10902.26,15000.0,0.727
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),11200.0,15000.0,0.747
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),14608.7,15000.0,0.974
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),9753.95,11000.0,0.887
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),13148.15,15000.0,0.877
Appartement,Riviera,Aïn Chock,Appartement (fermé et sécurisé),20207.79,15000.0,1.347
Appartement,Sidi Moumen,Hay Mohammadi,Appartement (fermé et sécurisé),7350.0,9500.0,0.774
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),25000.0,19000.0,1.316
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),19642.86,19000.0,1.034
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),28444.44,19000.0,1.497
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),23600.0,13000.0,1.815
Villa,Anfa,Maarif,Villa,18549.75,11000.0,1.686
Villa,Californie,Aïn Chock,Villa,13664.6,10000.0,1.366
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),14052.29,19000.0,0.74
Villa,Anfa,Maarif,Villa,22029.7,11000.0,2.003
Maison,Sidi Maârouf,Aïn Chock,Villa,6400.0,10000.0,0.64
Appartement,Belvédère,Maarif,Appartement (fermé et sécurisé),5704.7,19000.0,0.3
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),15789.47,19000.0,0.831
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),27810.65,15000.0,1.854
Villa,Ain Diab,Aïn Chock,Villa,20205.48,10000.0,2.021
Immeuble,Centre Ville,Sidi Belyout,Construction à usage commercial,10000.0,12000.0,0.833
Appartement,Belvédère,Maarif,Appartement (fermé et sécurisé),6666.67,19000.0,0.351
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),11645.57,11000.0,1.059
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),11191.37,11000.0,1.017
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),13148.15,15000.0,0.877
Studio,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),12650.0,19000.0,0.666
Studio,Palmier,Maarif,Appartement (fermé et sécurisé),22500.0,19000.0,1.184
Studio,Riviera,Aïn Chock,Appartement (fermé et sécurisé),22000.0,15000.0,1.467
Appartement,Sidi Moumen,Hay Mohammadi,Appartement (fermé et sécurisé),7592.59,9500.0,0.799
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),12400.0,19000.0,0.653
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),15500.0,19000.0,0.816
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),23289.47,13000.0,1.791
Villa,Ain Diab,Aïn Chock,Villa,21666.67,10000.0,2.167
Villa,Anfa,Maarif,Villa,23888.89,11000.0,2.172
Studio,Alsace Lorraine,Maarif,Appartement (fermé et sécurisé),20232.56,19000.0,1.065
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),20333.33,19000.0,1.07
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),12688.17,19000.0,0.668
Studio,Les princesses,Maarif,Appartement (fermé et sécurisé),18493.15,19000.0,0.973
Villa,Diab Extension,Aïn Chock,Villa,15000.0,10000.0,1.5
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),10879.12,11000.0,0.989
Studio,Riviera,Aïn Chock,Appartement (fermé et sécurisé),20985.71,15000.0,1.399
Villa,Anfa,Maarif,Villa,17250.0,11000.0,1.568
Villa,Anfa,Maarif,Villa,36000.0,11000.0,3.273
Villa,Anfa,Maarif,Villa,19090.91,11000.0,1.736
Appartement,Finance City,Aïn Chock,Appartement (fermé et sécurisé),22264.15,15000.0,1.484
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),25600.0,19000.0,1.347
Appartement,Finance City,Aïn Chock,Appartement (fermé et sécurisé),23095.24,15000.0,1.54
Studio,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),16666.67,15000.0,1.111
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),14736.84,19000.0,0.776
Appartement,Derb Ghalef,Hay Hassani,Appartement (fermé et sécurisé),17816.09,13000.0,1.37
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),12316.34,11000.0,1.12
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),12922.08,11000.0,1.175
Appartement,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),15040.65,13000.0,1.157
Studio,Riviera,Aïn Chock,Appartement (fermé et sécurisé),21709.3,15000.0,1.447
Appartement,Sidi Moumen,Hay Mohammadi,Appartement (fermé et sécurisé),8000.0,9500.0,0.842
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),21200.0,19000.0,1.116
Villa,Californie,Aïn Chock,Villa,13333.33,10000.0,1.333
Villa,Californie,Aïn Chock,Villa,19480.52,10000.0,1.948
Studio,Oasis,Hay Hassani,Appartement (fermé et sécurisé),22692.31,13000.0,1.746
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),22000.0,19000.0,1.158
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),20535.71,19000.0,1.081
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),15108.7,19000.0,0.795
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),14444.44,19000.0,0.76
Villa,Sidi Maârouf,Aïn Chock,Villa,11350.0,10000.0,1.135
Villa,Diab Extension,Aïn Chock,Villa,15900.0,10000.0,1.59
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),25000.0,19000.0,1.316
Appartement,Laymoune,Hay Hassani,Appartement (fermé et sécurisé),16666.67,13000.0,1.282
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),12211.24,11000.0,1.11
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),10097.09,11000.0,0.918
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),17252.4,15000.0,1.15
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),26829.27,15000.0,1.789
Villa,Ain Diab,Aïn Chock,Villa,21533.33,10000.0,2.153
Appartement,Riviera,Aïn Chock,Appartement (fermé et sécurisé),19986.3,15000.0,1.332
Villa,Aïn Chock,Aïn Chock,Villa,15909.09,10000.0,1.591
Studio,Oasis,Hay Hassani,Appartement (fermé et sécurisé),22400.0,13000.0,1.723
Studio,Palmier,Maarif,Appartement (fermé et sécurisé),18769.23,19000.0,0.988
Studio,Oasis,Hay Hassani,Appartement (fermé et sécurisé),14042.55,13000.0,1.08
Studio,Les princesses,Maarif,Appartement (fermé et sécurisé),13025.21,19000.0,0.686
Studio,Riviera,Aïn Chock,Appartement (fermé et sécurisé),27380.95,15000.0,1.825
Studio,Les princesses,Maarif,Appartement (fermé et sécurisé),22641.51,19000.0,1.192
Appartement,Roches Noires,Roches Noires,Appartement (fermé et sécurisé),11358.02,13000.0,0.874
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),10000.0,11000.0,0.909
Appartement,Hay Hassani,Hay Hassani,Appartement (fermé et sécurisé),14851.49,13000.0,1.142
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),17500.0,15000.0,1.167
Studio,Oasis,Hay Hassani,Appartement (fermé et sécurisé),18219.18,13000.0,1.401
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),23600.0,13000.0,1.815
Appartement,Anfa,Maarif,Appartement (fermé et sécurisé),31147.54,19000.0,1.639
Studio,Palmier,Maarif,Appartement (fermé et sécurisé),24905.66,19000.0,1.311
Immeuble,Maarif,Maarif,Construction à usage commercial,23076.92,25000.0,0.923
Villa,Les Hôpitaux,Maarif,Villa,12408.76,11000.0,1.128
Villa,Ain Diab,Aïn Chock,Villa,12256.27,10000.0,1.226
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),14824.12,19000.0,0.78
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),15294.12,15000.0,1.02
Résidence,Alsace Lorraine,Maarif,Appartement (fermé et sécurisé),16666.67,19000.0,0.877
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),12982.46,19000.0,0.683
Appartement,Anfa,Maarif,Appartement (fermé et sécurisé),31147.54,19000.0,1.639
Résidence,Finance City,Aïn Chock,Appartement (fermé et sécurisé),15277.78,15000.0,1.019
Appartement,Laymoune,Hay Hassani,Appartement (fermé et sécurisé),16336.63,13000.0,1.257
Studio,Finance City,Aïn Chock,Appartement (fermé et sécurisé),28571.43,15000.0,1.905
Appartement,Anfa,Maarif,Appartement (fermé et sécurisé),36585.37,19000.0,1.926
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),17072.92,15000.0,1.138
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),13440.86,19000.0,0.707
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),18787.88,19000.0,0.989
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),18560.61,15000.0,1.237
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),20377.36,13000.0,1.567
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),21071.43,19000.0,1.109
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),15000.0,19000.0,0.789
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),16535.43,19000.0,0.87
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),10582.35,19000.0,0.557
Studio,Palmier,Maarif,Appartement (fermé et sécurisé),29696.97,19000.0,1.563
Appartement,Anfa,Maarif,Appartement (fermé et sécurisé),36585.37,19000.0,1.926
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),20779.07,15000.0,1.385
Studio,Les princesses,Maarif,Appartement (fermé et sécurisé),17142.86,19000.0,0.902
Appartement,Anfa,Maarif,Appartement (fermé et sécurisé),33112.58,19000.0,1.743
Studio,Les princesses,Maarif,Appartement (fermé et sécurisé),22000.0,19000.0,1.158
Riad,Riad,Hay Hassani,Villa,24000.0,7000.0,3.429
Immeuble,Beauséjour,Maarif,Construction à usage commercial,13186.81,25000.0,0.527
Appartement,Nassim 1,Aïn Chock,Appartement (fermé et sécurisé),10235.29,15000.0,0.682
Villa,Ain Diab,Aïn Chock,Villa,20500.0,10000.0,2.05
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),20952.38,19000.0,1.103
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),16666.67,19000.0,0.877
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),10330.58,19000.0,0.544
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),14285.71,15000.0,0.952
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),6994.82,15000.0,0.466
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),15873.02,19000.0,0.835
Appartement,Anfa,Maarif,Appartement (fermé et sécurisé),33112.58,19000.0,1.743
Studio,Oasis,Hay Hassani,Appartement (fermé et sécurisé),20307.69,13000.0,1.562
Studio,Palmier,Maarif,Appartement (fermé et sécurisé),24107.14,19000.0,1.269
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),8522.73,11000.0,0.775
Appartement,Finance City,Aïn Chock,Appartement (fermé et sécurisé),30434.78,15000.0,2.029
Appartement,Hay Hassani,Hay Hassani,Appartement (fermé et sécurisé),14851.49,13000.0,1.142
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),20557.69,15000.0,1.371
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),10370.37,11000.0,0.943
Appartement,Sidi Maârouf,Aïn Chock,Appartement (fermé et sécurisé),10500.0,15000.0,0.7
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),13311.69,19000.0,0.701
Appartement,Roches Noires,Roches Noires,Appartement (fermé et sécurisé),7325.58,13000.0,0.564
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),14465.41,15000.0,0.964
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),17355.37,19000.0,0.913
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),20000.0,19000.0,1.053
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),13076.92,19000.0,0.688
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),13725.49,19000.0,0.722
Villa,Californie,Aïn Chock,Villa,15522.39,10000.0,1.552
Appartement,Medina,Sidi Belyout,Appartement (fermé et sécurisé),9333.33,10000.0,0.933
Villa,Ain Diab,Aïn Chock,Villa,26479.75,10000.0,2.648
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),17543.86,19000.0,0.923
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),17919.08,19000.0,0.943
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),11333.33,11000.0,1.03
Studio,Riviera,Aïn Chock,Appartement (fermé et sécurisé),23584.91,15000.0,1.572
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),13263.25,11000.0,1.206
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),19262.3,19000.0,1.014
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),20136.52,15000.0,1.342
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),29545.45,15000.0,1.97
Studio,Hay Hassani,Hay Hassani,Appartement (fermé et sécurisé),15400.0,13000.0,1.185
Villa,Diab Extension,Aïn Chock,Villa,20373.51,10000.0,2.037
Appartement,Finance City,Aïn Chock,Appartement (fermé et sécurisé),23960.0,15000.0,1.597
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),28461.54,15000.0,1.897
Villa,Californie,Aïn Chock,Villa,22222.22,10000.0,2.222
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),16101.69,19000.0,0.847
Villa,Nassim 2,Aïn Chock,Villa,10256.41,10000.0,1.026
Appartement,Riviera,Aïn Chock,Appartement (fermé et sécurisé),13790.54,15000.0,0.919
Villa,Ain Diab,Aïn Chock,Villa,21533.33,10000.0,2.153
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),10759.49,11000.0,0.978
Studio,Riviera,Aïn Chock,Appartement (fermé et sécurisé),20055.56,15000.0,1.337
