property_type,location,quartier_ancfcc,consistance_ancfcc,price_m2,prix_ref_ancfcc_m2,ratio_marche_ancfcc
Appartement,Belvédère,Maarif,Appartement (fermé et sécurisé),11635.22,19000.0,0.612
Villa,Sidi Maârouf,Aïn Chock,Villa,11111.11,10000.0,1.111
Appartement,Aïn Chock,Aïn Chock,Appartement (fermé et sécurisé),9482.76,15000.0,0.632
Studio,Sidi Belyout,Sidi Belyout,Appartement (fermé et sécurisé),15849.06,10000.0,1.585
Studio,Sidi Belyout,Sidi Belyout,Appartement (fermé et sécurisé),24444.44,10000.0,2.444
Appartement,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),13380.28,13000.0,1.029
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),24782.61,19000.0,1.304
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),13076.92,19000.0,0.688
Villa,Laymoune,Hay Hassani,Villa,11889.6,7000.0,1.699
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),15131.58,19000.0,0.796
Duplex,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),17142.86,15000.0,1.143
Appartement,Casablanca Marina,Sidi Belyout,Appartement (fermé et sécurisé),32795.7,10000.0,3.28
Studio,Maarif,Maarif,Appartement (fermé et sécurisé),30555.56,19000.0,1.608
Appartement,Sidi Maârouf,Aïn Chock,Appartement (fermé et sécurisé),12903.23,15000.0,0.86
Appartement,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),11250.0,13000.0,0.865
Duplex,Maarif,Maarif,Appartement (fermé et sécurisé),19467.46,19000.0,1.025
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),9814.32,15000.0,0.654
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),9627.12,11000.0,0.875
Duplex,Les princesses,Maarif,Appartement (fermé et sécurisé),11969.7,19000.0,0.63
Villa,Californie,Aïn Chock,Villa,13333.33,10000.0,1.333
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),14814.81,19000.0,0.78
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),13445.38,19000.0,0.708
Penthouse,Gauthier,Maarif,Appartement (fermé et sécurisé),14208.63,19000.0,0.748
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),16428.57,19000.0,0.865
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),11111.11,19000.0,0.585
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),20338.98,19000.0,1.07
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),29629.63,15000.0,1.975
Villa,Laymoune,Hay Hassani,Villa,18750.0,7000.0,2.679
Villa,Laymoune,Hay Hassani,Villa,16857.14,7000.0,2.408
Studio,Beauséjour,Maarif,Appartement (fermé et sécurisé),40625.0,19000.0,2.138
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),12937.06,15000.0,0.862
Appartement,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),7547.17,13000.0,0.581
Appartement,Californie,Aïn Chock,Appartement (fermé et sécurisé),13257.58,15000.0,0.884
Villa,Anfa,Maarif,Villa,17689.91,11000.0,1.608
Villa,Californie,Aïn Chock,Villa,12222.22,10000.0,1.222
Villa,Californie,Aïn Chock,Villa,12362.64,10000.0,1.236
Villa,Californie,Aïn Chock,Villa,14049.59,10000.0,1.405
Appartement,Anfa,Maarif,Appartement (fermé et sécurisé),30797.1,19000.0,1.621
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),17346.94,19000.0,0.913
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),15000.0,19000.0,0.789
Villa,Californie,Aïn Chock,Villa,11851.85,10000.0,1.185
Villa,Californie,Aïn Chock,Villa,17146.36,10000.0,1.715
Villa,Oasis,Hay Hassani,Villa,10588.24,7000.0,1.513
Villa,Californie,Aïn Chock,Villa,21212.12,10000.0,2.121
Villa,Californie,Aïn Chock,Villa,8087.2,10000.0,0.809
Villa,El Hank,Maarif,Villa,16129.03,11000.0,1.466
Villa,Oasis,Hay Hassani,Villa,18495.68,7000.0,2.642
Villa,Californie,Aïn Chock,Villa,16431.92,10000.0,1.643
Studio,Oasis,Hay Hassani,Appartement (fermé et sécurisé),21538.46,13000.0,1.657
Villa,Anfa,Maarif,Villa,18750.0,11000.0,1.705
Villa,Anfa,Maarif,Villa,19386.11,11000.0,1.762
Villa,Anfa,Maarif,Villa,15732.55,11000.0,1.43
Villa,Anfa,Maarif,Villa,22335.03,11000.0,2.03
Villa,Californie,Aïn Chock,Villa,12745.1,10000.0,1.275
Villa,Californie,Aïn Chock,Villa,14545.45,10000.0,1.455
Villa,Anfa,Maarif,Villa,23923.44,11000.0,2.175
Villa,Californie,Aïn Chock,Villa,14814.81,10000.0,1.481
Villa,Anfa,Maarif,Villa,16616.31,11000.0,1.511
Villa,Anfa,Maarif,Villa,27500.0,11000.0,2.5
Duplex,Les princesses,Maarif,Appartement (fermé et sécurisé),11521.74,19000.0,0.606
Villa,Anfa,Maarif,Villa,18750.0,11000.0,1.705
Villa,Anfa,Maarif,Villa,17560.98,11000.0,1.596
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),15882.35,19000.0,0.836
Villa,Oasis,Hay Hassani,Villa,19099.59,7000.0,2.729
Villa,Californie,Aïn Chock,Villa,15000.0,10000.0,1.5
Villa,Californie,Aïn Chock,Villa,13392.86,10000.0,1.339
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),18292.68,19000.0,0.963
Villa,Ain Diab,Aïn Chock,Villa,32000.0,10000.0,3.2
Appartement,Roches Noires,Roches Noires,Appartement (fermé et sécurisé),10266.67,13000.0,0.79
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),21276.6,15000.0,1.418
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),11455.7,19000.0,0.603
Villa,Californie,Aïn Chock,Villa,7590.13,10000.0,0.759
Appartement,Alsace Lorraine,Maarif,Appartement (fermé et sécurisé),11184.21,19000.0,0.589
Villa,Californie,Aïn Chock,Villa,19061.58,10000.0,1.906
Villa,Anfa,Maarif,Villa,20000.0,11000.0,1.818
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),15720.52,15000.0,1.048
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),9230.77,19000.0,0.486
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),26825.4,19000.0,1.412
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),15966.39,19000.0,0.84
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),12704.92,19000.0,0.669
Studio,Les princesses,Maarif,Appartement (fermé et sécurisé),28720.93,19000.0,1.512
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),15654.95,13000.0,1.204
Appartement,Roches Noires,Roches Noires,Appartement (fermé et sécurisé),11900.0,13000.0,0.915
Appartement,Roches Noires,Roches Noires,Appartement (fermé et sécurisé),11021.02,13000.0,0.848
Appartement,Roches Noires,Roches Noires,Appartement (fermé et sécurisé),11077.13,13000.0,0.852
Studio,Maarif,Maarif,Appartement (fermé et sécurisé),22857.14,19000.0,1.203
Studio,Maarif,Maarif,Appartement (fermé et sécurisé),23000.0,19000.0,1.211
Studio,Maarif,Maarif,Appartement (fermé et sécurisé),22777.78,19000.0,1.199
Immeuble,Oulfa,Hay Hassani,Construction à usage commercial,20312.5,15000.0,1.354
Villa,Ain Diab,Aïn Chock,Villa,13333.33,10000.0,1.333
Appartement,Roches Noires,Roches Noires,Appartement (fermé et sécurisé),12000.0,13000.0,0.923
Appartement,Roches Noires,Roches Noires,Appartement (fermé et sécurisé),11900.0,13000.0,0.915
Studio,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),27586.21,19000.0,1.452
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),17789.47,19000.0,0.936
Studio,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),26111.11,19000.0,1.374
Studio,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),27027.03,19000.0,1.422
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),23046.88,19000.0,1.213
Studio,Les princesses,Maarif,Appartement (fermé et sécurisé),22413.79,19000.0,1.18
Maison,Anfa,Maarif,Villa,37000.0,11000.0,3.364
Villa,El Hank,Maarif,Villa,9066.67,11000.0,0.824
Villa,Ain Diab,Aïn Chock,Villa,25000.0,10000.0,2.5
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),27071.82,15000.0,1.805
Appartement,Al Qods,Hay Hassani,Appartement (fermé et sécurisé),8243.24,13000.0,0.634
Villa,Californie,Aïn Chock,Villa,18118.47,10000.0,1.812
Appartement,Oulfa,Hay Hassani,Appartement (fermé et sécurisé),8627.45,13000.0,0.664
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),26608.19,15000.0,1.774
Appartement,Derb Ghalef,Hay Hassani,Appartement (fermé et sécurisé),14864.86,13000.0,1.143
Appartement,Sidi Maârouf,Aïn Chock,Appartement (fermé et sécurisé),9829.06,15000.0,0.655
Appartement,Casablanca Marina,Sidi Belyout,Appartement (fermé et sécurisé),22443.18,10000.0,2.244
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),19512.2,19000.0,1.027
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),28846.15,15000.0,1.923
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),10581.4,11000.0,0.962
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),9102.56,19000.0,0.479
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),10000.0,19000.0,0.526
Studio,Palmier,Maarif,Appartement (fermé et sécurisé),29878.05,19000.0,1.573
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),17553.19,13000.0,1.35
Maison,Sidi Maârouf,Aïn Chock,Villa,33333.33,10000.0,3.333
Appartement,Al Qods,Hay Hassani,Appartement (fermé et sécurisé),1603.32,13000.0,0.123
Studio,Anfa,Maarif,Appartement (fermé et sécurisé),17910.45,19000.0,0.943
Appartement,Belvédère,Maarif,Appartement (fermé et sécurisé),6308.41,19000.0,0.332
Villa,Californie,Aïn Chock,Villa,19787.64,10000.0,1.979
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),17716.54,19000.0,0.932
Appartement,Alsace Lorraine,Maarif,Appartement (fermé et sécurisé),10000.0,19000.0,0.526
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),12686.57,15000.0,0.846
Villa,Anfa,Maarif,Villa,27027.03,11000.0,2.457
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),19520.55,15000.0,1.301
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),34000.0,15000.0,2.267
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),29289.94,15000.0,1.953
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),32031.25,19000.0,1.686
Appartement,Finance City,Aïn Chock,Appartement (fermé et sécurisé),29411.76,15000.0,1.961
Appartement,Val Fleury,Hay Hassani,Appartement (fermé et sécurisé),14598.54,13000.0,1.123
